audio_path,question,response,UUID,creation_time
,(?), les roses de Taëf,,
,Combien de millions de roses sont produites chaque année à Taëf,550,,
,(?),Le changement climatique,,
,(?),"Au printemps, ces champs se couvrent d'un tapis floral éclatant",,
,(?),le temps de la récolte,,
,(?),Les pétales,,
,(?),tremper,,
,(?),distiller,,
,(?),un parfum réputé,,
,(?),une huile essentielle,,
,"Mais avec son climat (?) et ses vastes déserts, ",aride,,
,l'Arabie saoudite est particulièrement (?) aux conséquences du réchauffement climatique,exposée,,
,(?),la cité des roses,,
,(?),récolter,,
,(?),les synodes,,
,(?),un pape progressiste,,
,(?),reculer,,
,"il a quand même derrière lui un gouvernement, (?)",la Curie romaine,,
,et des (?) et toute l’Église,évêques,,
,qui est quand même (?) lui rester fidèle à la doctrine et aux traditions conservatrices de l’Église,,,
,"« Si quelqu’un est (?) et cherche le Seigneur avec bonne volonté, qui suis-je pour le juger ? »",gay,,
,Il est resté fidèle à la doctrine catholique sur le sujet de (?).,l’avortement,,
,(?),Je le tolère,,
,(?),le meurtre,,
,François (?) beaucoup d’attentes parmi les plus progressistes de l’Église,suscite,,
,(?),le gage,,
,(?),Anne Frank,,
,un journal (?),intime,,
,(?)est toujours une tentative de perpétuer une idéologie,Une méthode d'éducation ,,
,il faut (?),sensibiliser,,
,vivre le quotidien d’une personne qui a dû vivre(?),enfermée,,
,(?),adresse électronique,,
,(?),concordance,,
,Le Canada possède 7 % de (?) présente sur Terre.,l’eau douce,,
,(?),le charbon,,
,"Si le Canada était américain, finis les (?).",droits de douane,,
,Donald Trump se (?) président de la plus grande nation du monde,rêve,,
,la population américaine est plus nombreuse et elle est confrontée à de grandes (?) par endroits,sécheresses,,
,(?),l’acier,,
,Nos (?) personnels,souvenirs,,
,"Et (?), c'est justement pour ça que la mémoire devient essentielle",paradoxlament,,
,(?), Au Cambodge,,
, le mot « mémoire » se (?),murmure à l’ombre du génocide,,
,perpétré par les (?),Khmers rouges,,
,(?),Angela Davis,,
,la fin de la(?),ségrégation raciale,,
,le groupe (?) des Black Panthers,armé,,
,"il est accusé de meurtre, kidnapping, et (?)",conspiration,,
,Libérée (?),sous caution,,
,elle se présente à son (?) en femme libre.,procès,,
,C’est (?) qu’elle est libérée sous caution après 16 mois d’emprisonnement,grâce à la pression internationale,,
,(?) à la discrimination,sensible,,
,C’est (?),une légende,,
,À cette (?),époque,,
,"l’Amérique est (?) raciste, sexiste et anti-communiste",profondément,,
,(?),le Ku Klux Klan,,
,(?),se radicaliser,,
,En 1970 (?) dans un tribunal Californien,une prise d’otage,,
,L’opération (?),tourne au drame,,
,quatre personnes sont (?),abattues,,
,et trois autres (?),grièvement blessées,,
,(?),militer,,
,(?),réclamer,,
,(?),ultra médiatisé,,
,Angela Davis(?),plaide non coupable,,
,(?),le poing levé,,
,le monde entier (?) dans l’attente du verdict,retient son souffle,,
,la jeune femme était (?),acquittée,,
,(?),une icône rebelle,,
,(?),élargir leurs horizons,,
,Les (?),bandes dessinées,,
,la description (?),détaillée,,
,"Aujourd’hui, ils (?) sur leurs outils en constante évolution.",font le point,,
,(?),en situation de handicap,,
,pour nous c’est (?) de voir,de la joie,,
,une population (?),marginalisée,,
,« Presse » comme la machine à imprimer inventée par (?),Gutenberg,,
,(?) le tout premier hebdomadaire,La Gazette,,
,"(?) , médecin de Louis XIII",Renaudot,,
,avec l’appui de (?),Richelieu,,
,"l'information se rapproche, à quelques années de la Révolution qui sera (?) de la presse ",l'âge d'or,,
,avec la (?) de plus de 1 000 journaux à Paris,parution,,
,"Vingt ans plus tôt, en 1766, la Suède devenait le tout premier pays à faire de la liberté de communiquer et d'informer (?)",un droit fondamental,,
," Alors qu'aux États-Unis, (?) allait devenir le premier amendement de la Constitution.",la liberté d’expression,,
,"Avec (?), un journal est plus facile et surtout plus rapide à produire.",La presse rotative,,
,"Cent ans plus tard, c'est l'explosion des (?)",médias numériques,,
,et tous leurs (?),excès,,
,Avec (?) que de vraies nouvelles,autant de fausses,,
,J’ai (?) sur mon pantalon,fait pipi,,
, De quoi encore et toujours (?) l'éternel débat autour des médias.,alimenter,,
,"(?) que plus la presse est libre, plus un pays est démocratique ",sachant,,
,Et (?),vice versa,,
, « Pressée » comme une nouvelle qui doit être (?) au plus vite,diffusée,,
,(?) des réseaux sociaux.,l’apparition,,
,(?),le mil,,
,(?),le soja,,
,(?),l’arachide,,
,Les chefs traditionnels ont eu (?) de nous,pitié,,
,les transactions (?),foncières,,
,d’accès au (?),foncier,,
,(?) IVG,le droit à l’interruption volontaire de grossesse,,
,Tout comme (?), l’euthanasie,,
," Enfin, certains seront peut-être surpris d’apprendre que le premier pays dans le monde à avoir (?) l’IVG1 est l’Union soviétique",légalisé,,
,Qui a écrit Le Deuxième Sexe,Simone de Beauvoir,,
,(?),Gisèle Halimi,,
,"Gisèle Halimi défend (?) une jeune activiste accusée de terrorisme, torturée et violée par des soldats français.",Djamila Boupacha,,
,Le procès de (?),Marie-Claire Chevalier,,
,(?),Une fois de plus,,
, L’avocate (?) à faire évoluer la loi,parvient,,
,"en 1980, le viol est enfin considéré comme un crime et non plus comme un (?)",délit,,
,(?),les preuves historiques,,
,(?),les illustrations,,
,elle a fait campagne pour (?),,,
,"Âgée d’à peine 10 ans, la petite fille entame (?) car elle refuse de servir ses frères",une grève de la faim,,
,"« La défense, en tout cas pour moi, c’était une manière de (?) le monde. »",changer,,
,(?),une parole,,
,(?),un discours,,
,(?),protester,,
,(?),son sexe,,
