audio_path,question,response,UUID,creation_time
,(?),accoucher,,
,(?),J’invite tous les français qui veulent rester libre à m’écouter et me suivre,,
,(?),les ancêtres préhumains,,
,(?),Homo Neanderthalensis,,
,(?),Homo Heidelbergensis,,
,(?),l’äge de fer,,
,(?),les Gaulois,,
,(?),un peuple Celtique,,
,(?),Massalia,,
,Combien d'années ont passé depuis que Massalia a été fondée ?,!N2600,,
,Comment s’appelle Massalia aujourd’hui ?,Marseille,,
,(?),les Grecs,,
,(?),l’antiquité,,
,(?),les akitains,,
,(?),les belges,,
,(?),infatigable,,
,Comment s’appelle Tolosa aujourd’hui ?,Toulouse,,
,(?),les guerres incessantes,,
,(?),la puissance de la civilisation romaine,,
,(?),le latin,,
,(?),Baptême de Clovis,,
,(?),la Gaule,,
,(?),primer,,
,(?),Charles Martel,,
,(?),Pépin le Bref,,
,(?),la dynastie carolingienne,,
,(?),Charlemagne,,
,(?),le pouvoir Franc,,
,(?),Léon III,,
,(?),Louis le Pieux,,
,(?),Le Traité de Verdun,,
,(?),les duchés et les comtés,,
,(?),Guillaume le Conquérant,,
,(?),la première croisade,,
,En quelle année Henri II et Robert II ont racontré,!N1023,,
,(?),un pacte franco-germanique,,
,(?),la premier croisade,,
,(?),véritablement,,
,(?),Louis VII le Jeune,,
,(?),Aliénor d’Aquitaine,,
,(?),éduquée,,
,(?),charismatique,,
,(?),consanguinité,,
,(?),Henri Plantagênet,,
,(?),un règne,,
,(?),le système féodal,,
,(?),les fiefs,,
,(?),un vassal,,
,(?),les serfs,,
,(?),les paysans,,
,(?),Richard Coeur de Lion,,
,(?),la troisième croisade,,
,(?),succéder,,
,(?),hériter,,
,(?),Louis IX le saint,,
,(?),un royaume centralisé,,
,(?),le Conseil du Roi,,
,(?),l’apogé de la monarchie française,,
,(?),Philippe IV le Bel,,
,(?),la papauté était déplacée à Avignon,,
,(?),deux royaumes liés par l’histoire mais divisés par l’ambition,,
,(?),la guerre de 100 ans,,
,(?),la peste noire,,
,(?),décimer,,
,(?),la première armée permanante française,,
,(?),les compagnies d’ordonnances,,
,(?),Charles VII,,
,(?),réhabiliter,,
,(?),Jean d’Arc,,
,(?),la sorcellerie,,
,(?),l’hérésie,,
,(?),les états généraux,,
,(?),une quasi indépendence,,
,(?),les marchands et les guildes,,
,(?),la lingua franca d’Europe,,
,(?) – Charles Quint,"Je parle espagnol à Dieu, italien aux femmes, français aux hommes, et allemand à mon cheval",,
,(?),l’abdication,,
,(?),le pouvoir est partagé entre plusieurs acteurs,,
,(?),la réforme protestante,,
,(?),Paris vaut bien une messe,,
,(?),promulguer,,
,(?),corrompre,,
,(?),provenir,,
,(?),s’originer,,
,(?),cosmétique,,
,(?),l'esthétique,,
,(?),l'équivalence moderne,,
,(?),garantir,,
,(?),le monde chrétien renversé,,
,(?),j'ai déversé le lait,,
,(?),pouvons-nous reprogrammer ?,,
,(?),une loterie,,
,(?),un jeu de hasard,,
,(?),en contrepartie d'une participation financière,,
,(?),tenter sa chance pour un gain,,
,(?),quasiment jamais,,
,(?),la bouille,,
,(?),étouffer,,
,(?),une oreille,,
,(?),un oreiller,,
,(?),désuet,,
,(?),une couette,,
,(?),un couvre-lit,,
,(?),le diatopisme,,
,(?),une couverture,,
,(?),immobile,,
,(?),amovible,,
,(?),les villes interconnectées,,
,(?),concis,,
,(?),en restant fidèle à mon intention,,
,(?),compréhensible,,
,(?),procéder,,
,(?),les chaussettes,,
,(?),le surpoids,,
,(?),rond,,
,(?),enrober,,
,(?),une ombre,,
,(?),les déclinaisons d'un parfum,,
,(?),harmoniser,,
,(?),formuler,,
,(?),un inconvénient,,
,(?),"« agir ensemble, protéger chacun »",,
,(?),une épreuve,,
,(?),un dysfonctionnement,,
,(?),l'aisance,,
,(?),un recteur,,
,(?),un chancelier,,
,(?),"« Tel père, tel fils.»",,
,(?),dépasser,,
,(?),chasser,,
,(?),au boulot,,
,(?),un maillot,,
,(?),enfoncer,,
,(?),Billy Graham,,
,(?),un parrain,,
,(?),une marraine,,
,(?),la réticence,,
,(?),agoniser,,
,(?),recéler,,
,(?),renfermer,,
,(?),sectaire,,
,(?),"« Dieu n'efface pas nos souffrances, mais au moins, avec lui, nous ne sommes pas seuls. »",,
,(?),rompre le lien,,
,(?),admettre,,
,(?),sévère,,
,(?),la menthe,,
,(?),le basilic,,
,(?),une tisane,,
,(?),le liquide amniotique,,
,(?),l'utérus,,
,(?),la grossesse,,
,(?),déverser,,
,(?),ramer,,
