UUID,audio_path,question
9706527,Ne_le_jette_pas_.mp3,Ne le jette pas.
9707460,Je_le_reverrai_.mp3,Je le reverrai.
10759003,Je_n_ai_pas_besoin_d.mp3,Je n'ai pas besoin de ceux-ci.
9987156,Je_suis_difficile_à_.mp3,Je suis difficile à table.
7415108,Je_suis_allé_à_la_ba.mp3,Je suis allé à la banque.
11167552,Je_suis_descendu_de_.mp3,Je suis descendu de mon cheval.
11181082,C_était_de_notre_fau.mp3,C'était de notre faute.
11167000,J_ai_commandé_à_mang.mp3,J'ai commandé à manger.
11146596,Des_problèmes_peuven.mp3,Des problèmes peuvent survenir.
11230020,Le_meurtre_est_un_cr.mp3,Le meurtre est un crime.
10970257,Qu_est_ce_qui_t_embê.mp3,Qu'est-ce qui t'embête ?
10601176,J_enseigne_en_CE2_.mp3,J'enseigne en CE2.
7416297,As_tu_invité_Tom__.mp3,As-tu invité Tom ?
9707500,J_ai_refusé_la_propo.mp3,J'ai refusé la proposition.
11237973,J_ai_un_emploi_stabl.mp3,J'ai un emploi stable.
9767736,C_est_un_monde_sinis.mp3,C'est un monde sinistre.
10543318,L_amour_est_passager.mp3,L'amour est passager.
11296095,On_a_raté_notre_bus_.mp3,On a raté notre bus.
10973110,Vas_y_doucement_avec.mp3,Vas-y doucement avec le vin.
10240300,C_est_du_travail_bâc.mp3,C'est du travail bâclé.
7411786,J_ai_débranché_la_té.mp3,J'ai débranché la télé.
11228002,Ne_klaxonne_pas_.mp3,Ne klaxonne pas.
7414808,On_s_est_bourré_la_g.mp3,On s'est bourré la gueule.
7411999,Tom_était_très_bon_.mp3,Tom était très bon.
11297779,Fais_ce_que_tu_juges.mp3,Fais ce que tu juges bon.
10973111,Vas_y_mollo_avec_le_.mp3,Vas-y mollo avec le vin.
10968777,Bonne_soirée_.mp3,Bonne soirée.
10511569,J_ai_la_moitié_de_to.mp3,J'ai la moitié de ton âge.
10485805,Tu_es_tellement_créd.mp3,Tu es tellement crédule.
10937427,Ça_va_se_reproduire_.mp3,Ça va se reproduire.
11182486,J_aimerais_pouvoir_r.mp3,J'aimerais pouvoir rester.
9930596,Ne_te_fais_pas_d_ill.mp3,Ne te fais pas d'illusions.
7415013,Tom_y_a_cru__.mp3,Tom y a cru ?
10714519,Tes_yeux_sont_rouges.mp3,Tes yeux sont rouges.
10521363,Pourquoi_se_sont_ils.mp3,Pourquoi se sont-ils battus ?
10940157,Je_ne_t_ai_pas_menti.mp3,Je ne t'ai pas menti.
7415202,Tom_est_une_chiffe_m.mp3,Tom est une chiffe molle.
7412284,Prenez_de_l_aspirine.mp3,Prenez de l'aspirine.
10944373,Je_leur_ai_dit_d_arr.mp3,Je leur ai dit d'arrêter.
10494579,Laisse_nous_en_dehor.mp3,Laisse-nous en dehors de ça.
10282214,J_ai_des_courbatures.mp3,J'ai des courbatures partout.
10521356,Je_mange_souvent_à_l.mp3,Je mange souvent à la maison.
11234630,Le_navire_a_quitté_l.mp3,Le navire a quitté le port.
11217322,J_ai_bouclé_ma_ceint.mp3,J'ai bouclé ma ceinture.
7414838,Tom_ne_pouvait_pas_p.mp3,Tom ne pouvait pas parler.
9945171,Courage_.mp3,Courage.
7414689,Es_tu_optimiste__.mp3,Es-tu optimiste ?
9987155,Nous_sommes_difficil.mp3,Nous sommes difficiles à table.
10599310,J_ai_encore_mal_aux_.mp3,J'ai encore mal aux pieds.
11229459,Exige_le_meilleur_.mp3,Exige le meilleur.
10630575,J_ai_dormi_comme_une.mp3,J'ai dormi comme une souche.
11335180,Je_voulais_t_appeler.mp3,Je voulais t'appeler.
11188899,Nous_n_avons_jamais_.mp3,Nous n'avons jamais perdu espoir.
7745776,Boutonne_ton_manteau.mp3,Boutonne ton manteau.
10969237,N_est_ce_pas_exact__.mp3,N'est-ce pas exact ?
10881390,Le_câble_s_est_cassé.mp3,Le câble s'est cassé net.
10552466,Ce_n_est_pas_de_sa_f.mp3,Ce n'est pas de sa faute.
10963889,L_étang_est_gelé_.mp3,L'étang est gelé.
11227858,Pieutons_nous_.mp3,Pieutons-nous.
7745775,Rends_moi_mon_stylo_.mp3,Rends-moi mon stylo.
7730508,Vous_me_rendez_heure.mp3,Vous me rendez heureux.
9938667,Jetons_un_œil_à_l_in.mp3,Jetons un œil à l'intérieur.
9824010,Je_sais_que_je_radot.mp3,Je sais que je radote.
9676660,Remuez_vos_orteils_.mp3,Remuez vos orteils.
10465970,J_ai_siroté_mon_café.mp3,J'ai siroté mon café.
9821780,J_ai_ouvert_le_capot.mp3,J'ai ouvert le capot.
9917115,Je_te_sers_un_autre_.mp3,Je te sers un autre verre ?
10779679,Ne_sois_pas_si_mécha.mp3,Ne sois pas si méchant.
10498767,La_nourriture_est_fa.mp3,La nourriture est fade.
11290850,Ne_réveille_pas_le_b.mp3,Ne réveille pas le bébé.
11152592,J_ai_dû_travailler_t.mp3,J'ai dû travailler tard.
9731125,J_ai_essayé_de_m_int.mp3,J'ai essayé de m'intégrer.
11155463,Les_grands_garçons_n.mp3,Les grands garçons ne pleurent pas.
10802361,J_ai_marché_sur_un_c.mp3,J'ai marché sur un clou.
11155528,Prends_un_billet_pou.mp3,Prends un billet pour moi.
10270851,Bouche_cette_fuite_.mp3,Bouche cette fuite.
10623426,Vous_venez_d_arriver.mp3,Vous venez d'arriver ?
10312028,J_suis_un_mec_relax_.mp3,J'suis un mec relax.
9854079,Je_ne_mange_pas_de_v.mp3,Je ne mange pas de volaille.
10638980,J_ai_serré_les_poing.mp3,J'ai serré les poings.
9729868,Je_peux_poser_une_qu.mp3,Je peux poser une question ?
