audio_path,question,response,UUID,creation_time
,(?),une sortie de secours,,
,(?),la viande crue,,
,(?),des vêtements à la mode,,
,(?),il est préférable d'expérimenter,,
,(?),les idéaux promus par eux,,
,(?),promouvoir,,
,(?),je promeus,,
,(?),je promets,,
,(?),une personne désespérée,,
,(?),je ne peux pas m'en empêcher,,
,(?),ils opèrent dans une démocratie,,
,(?),leur ressemblance avec une machine de propagande chinoise,,
,(?),une agression,,
,(?),surtout lorsque les offenses sont répétées,,
,(?),la transgression,,
,(?),un hebdomadaire,,
,(?),déduire,,
,(?),à des degrés divers,,
,(?),un étonné,,
,(?),sur la base de ces critères,,
,(?),une modification supplémentaire,,
,(?),un complémentaire,,
,(?),un énoncé,,
,(?),se conformer,,
,(?),une vérification minutieuse,,
,(?),voici les étapes,,
,(?),une assiette,,
,(?),petit à petit,,
,(?),une difficulté de prononciation,,
,(?),un morceau d'os,,
,(?),un cochon,,
,(?),un morceau de porc,,
,(?),un camp de concentration,,
,(?),un bouquet de fleurs,,
,(?),le long de la côte,,
,(?),un régime tyrannique,,
,(?),tout en Chine est si bon marché,,
,(?),un milliard,,
,(?),un million,,
,(?),un mille,,
,(?),un cent,,
,(?),un système de distribution des ressources,,
,(?),un homologue,,
,(?),un accès aux soins médicaux,,
,(?),toutes les souffrances et les traumatismes,,
,(?),marcher à pied à travers l'Asie,,
,(?),si on a vécu en Chine,,
,(?),un objet précieux,,
,(?),un vote,,
,(?),un bulletin de vote,,
,(?),en espérant,,
,(?),aboutir à,,
,(?),cette recherche conduit à une découverte importante,,
,(?),le dialogue a abouti à un accord,,
,(?),les ordures,,
,(?),les décombres,,
,(?),un témoin à décharge,,
,(?),une éjaculation,,
,(?),éjaculer,,
,(?),il y a encore beaucoup à faire,,
,(?),nous partirons dès que tu seras prêt,,
,(?),ne te précipite pas !,,
,(?),un corps souple permet de faire des mouvements amples.,,
,(?),la gestion des cas,,
,(?),gérer,,
,(?),un souverain,,
,(?),l’ouverture du compte,,
,(?),quelles sont vos heures d’ouverture,,
,(?),se rebeller,,
,(?),une partie du coût,,
,(?),la dot,,
,(?),appauvri,,
,(?),un mariage,,
,(?),une enquête,,
,(?),une gamme de forfaits pour tous les usages dès 5€,,
,(?),télécharger une application,,
,(?),obsolète,,
