audio_path,question,response,UUID,creation_time
,(?),le premier absolutisme : Henri II et François Ier,,
,(?),les famines se font de plus en plus récurrentes,,
,"Quelle était la population de la France, en millions, au début des années 1500 ?",!N18,,
,Quelle proportion de la population française était calviniste dans les années 1560,!N10%,,
,(?),les guises,,
,(?),fervents défenseurs du catholicisme,,
,(?),François II,,
,Quel âge avait François II lorsqu’il est devenu roi ?,!15 ans,,
,(?),une santé fragile,,
,(?),la conjuration d’Amboise,,
,Quel âge avait Charles IX lorsqu’il est devenu roi ?,!N9,,
,(?),la régence,,
,(?),Catherine de Médicis,,
,(?),une politique de réconciliation,,
,(?),Michel de l’Hospital,,
,Quand la 1re guerre de religion a-t-elle pris fin?,!N1563,,
,(?),éclater,,
,(?),le prince de Condé,,
,(?),disgracier,,
,(?),l’amiral de Coligny,,
,(?),La Rochelle,,
,(?),le prince d’Orange,,
,(?),les guerres de religion,,
,(?),les catholiques intransigeants,,
,(?),« la paix du diable »,,
,(?),consolider la confiance,,
,(?),un complot,,
,(?),le massacre de la Saint-Barthélemy,,
,Combien de calvinistes sont tués dans le massacre de la Saint-Barthélemy ?,!N10000,,
,(?),les provinces unies du Midi,,
,(?),écarter,,
,(?),évincer,,
,(?),un statu quo,,
,(?),un coup de pied,,
,(?),s’apprêter,,
,(?),la tuberculose,,
,(?),rapprocher,,
,(?),la ligue,,
,(?),l’alliance,,
,(?),la conversion de Henri de Navarre,,
,(?),l’édit de Nantes,,
,Qui a aboli l’édit de Nantes en 1685 ?,!Louis XIV,,
,(?),les huguenots,,
,(?),abattre,,
,(?),s’effondrer,,
,(?),les malcontents,,
,(?),Kim Yo-jong,,
,(?),la complicité,,
,(?),accueillir,,
,(?),héberger,,
,(?),Jeux olympiques d’hiver à Pyeongchang,,
,(?),une équipe unifiée,,
,(?),défiler,,
,(?),l’Alsace,,
,(?),la Lorraine,,
,(?),d’énormes indemnités de guerre,,
,(?),les Champs-Élysées,,
,(?),la Commune de Paris,,
,En quelle année la Commune de Paris a-t-elle été instaurée ?,!N1871,,
,(?),envahir,,
,(?),brusquement,,
,(?),rude,,
,(?),rudesse,,
,(?),grossier,,
,(?),cruel,,
,(?),Vive la Commune,,
,Où était la Commune de Paris proclamée ?,!(la) place de l’Hôtel-de-Ville,,
,(?),le carré,,
,(?),les communards,,
,(?),les fédérés,,
,(?),les otages,,
,(?),quiconque a des traces de poudre sur les mains ou ressemble à un communard est fusillé,,
,(?),le mur des fédérés,,
,Combien de communards étaient fusillés devant le mur des fédérés ?,!N147,,
,Comment s’appelle la chanson emblématique des luttes ouvrières durant la Commune ?,!L’Internationale,,
,(?),le temps des cerises,,
,(?),la Nouvelle-Calédonie,,
,Combien de jours la Commune a duré ?,!N72,,
,(?),son espoir de meilleurs lendemains,,
,(?),mater,,
,(?),un incroyable laboratoire social,,
