audio_path,question,response,UUID,creation_time
,(?),gare de meaux déposé,,
,(?),nanteuil saâcy,,
,(?),port obligatoire de la ceinture de sécurité,,
,(?),une lanière,,
,(?),prudence,,
,(?),tourner et retourner,,
,(?),mon compagnon,,
,(?),une perceuse,,
,(?),un tuyau,,
,(?),il est apte,,
,(?),un suiveur,,
,(?),un hélicoptère,,
,(?),scandaleux,,
,(?),surpriser,,
,(?),un enterrement,,
,(?),une inhumation,,
,(?),une sépulture,,
,(?),nous avons fait du camping,,
,(?),réarranger,,
,(?),exciter,,
,(?),sobre,,
,(?),un drap de lit,,
,(?),déçu,,
,(?),une banane mûre,,
,(?),une bannière,,
,(?),la rosée,,
,(?),les récessions,,
,(?),les moustiques,,
,(?),un clip,,
,(?),une fourmi,,
,(?),"plus vous restez debout, plus vous donnez aux moustiques le temps de se rassembler autour de vous.",,
,(?),j'ai essayé de freiner mais j'allais trop vite,,
,(?),je conduis la moto,,
,(?),prétendu,,
,(?),pétrifié,,
,(?),terrifié,,
,(?),un éclaireur,,
,(?),un flotteur,,
,(?),léthargique,,
,(?),contourner,,
,(?),les requins,,
,(?),le tour du monde,,
,(?),relier à,,
,(?),une baleine,,
,(?),ton eau,,
,(?),irriguer,,
,(?),une grenouille,,
,(?),un marais,,
,(?),un lézard,,
,(?),une peau épaisse,,
,(?),un vignoble,,
,(?),un pigeon,,
,(?),un serpent,,
,(?),une gorge,,
,(?),leurs sabots vous piétinent,,
,(?),déguster,,
,(?),les saveurs,,
,(?),le trottoir,,
,(?),la chaussée,,
,(?),une route pavée,,
,(?),savourer,,
,(?),la écorce,,
,(?),s'agit-il d'une statue ?,,
,(?),un lapin,,
,(?),ce n'est pas très clair d'après l'apparence,,
,(?),nous avons une toute petite cave à vin ici,,
,(?),mon neveu,,
,(?),ma nièce,,
,(?),le perçage,,
,(?),la bijouterie,,
,(?),un coupe-herbe,,
,(?),marne-la-vallée–chessy,,
,(?),le focus,,
,(?),clarifier,,
