audio_path,question,response,UUID,creation_time
,(?),un toit,,
,(?),une torsade,,
,(?),une hélice,,
,(?),le savon,,
,(?),attrayant,,
,(?),attirer,,
,(?),pour survivre,,
,(?),nous survivrons,,
,(?),j’essaie de garder un œil sur les chiens,,
,(?),je percevais une frange de lumière,,
,(?),je t’avertis,,
,(?),Souhaites-tu un exemple de scénario étape par étape ?,,
,(?),les randonneurs étaient bien munis pour affronter le froid,,
,(?),je ne suis pas dans un bon moment de ma vie,,
,(?),avec grand plaisir,,
,(?)🌟,"Je les réécris dans un français plus vivant, fluide et expressif.",,
,(?),"Vas-y, je suis prêt !",,
,(?),poétique,,
,(?),humoristique,,
,(?),on ne dit pas quitter,,
,(?),indispensable,,
,(?),un concurrent,,
,(?),les passionnés,,
,(?),les amateurs,,
,(?),la catégorisation,,
,(?),écraser,,
,(?),substituer,,
,(?),un test de vue,,
,(?),le renouvellement de votre ordonnance,,
,(?),aveugle,,
,(?),le manoir de Seine,,
,(?),fêter,,
,(?),la mairie,,
,(?),matérialisé,,
,(?),la conciergerie,,
,(?),les bricolages,,
,(?),la garde d'enfants,,
,(?),la maîtrise d'œuvre,,
,(?),un mandataire,,
,(?),autonome,,
,(?),intégrer,,
,(?),afin de,,
,(?),la restauration,,
,(?),une fanfare,,
,(?),le tennis de table,,
,(?),le décrochage scolaire,,
,(?),une tombola,,
,(?),un graffiti,,
,(?),un accès libre,,
,(?),en l'absence de quai,,
,(?),attention à l'intervalle,,
,(?),vos affaires personnelles,,
,(?),ramener,,
,(?),une vidéo protégée,,
,(?),équiper,,
,(?),l'alchimie,,
,(?),la voie publique,,
,(?),le transport en commun,,
,(?),rafraîchissant,,
,(?),ce qui vous fait vibrer,,
,(?),gardez le rythme et le sourire,,
,(?),en vente ici,,
,(?),s'évader, rire,,
,(?),pétillant,,
,(?),hydratant,,
,(?),on peut mieux goûter la saveur sans la sauce,,
,(?),plein d'humour,,
,(?),une fuite,,
,(?),ne rien stocker dans le couloir,,
,(?),une sortie de secours,,
,(?),une carte de bibliothèque,,
,(?),quels sont les documents que je dois apporter avec moi ?,,
,(?),une rue étroite,,
,(?),austère,,
,(?),une exposition,,
,(?),un sac,,
,(?),une valise,,
,(?),remercier,,
,(?),mourir en odeur de sainteté,,
,(?),l'odorat,,
,(?),des tartines,,
,(?),j'envoie,,
,(?),la ventilation ici est privée,,
,(?),plein de l'odeur de la cigarette,,
,(?),fumer,,
,(?),la salle commune,,
,(?),un espace commun,,
,(?),exalter,,
,(?),vous avez déjà une dette envers eux lors de la première rencontre,,
,(?),pour les soutenir,,
,(?),le train est bondé,,
,(?),aborder,,
,(?),comme d'habitude,,
,(?),enrichir,,
,(?),controversé,,
,(?),Marie Le Pen,,
,(?),les votes,,
,(?),plus ou moins,,
,(?),un vautour,,
,(?),un aigle,,
,(?),une couverture,,
,(?),un édredon,,
,(?),épais,,
,(?),une courtepointe,,
,(?),fin,,
,(?),respirant,,
,(?),étouffant,,
,(?),un point souligné,,
,(?),un athlète distingué,,
,(?),un éclaircissement,,
,(?),discernable,,
,(?),favorable,,
,(?),favoriser,,
,(?),évoluer,,
,(?),en un sens,,
,(?),absorber,,
,(?),combattre,,
,(?),Guillaume le Conquérant,,
,(?),1066, la bataille d'Hastings,,
,(?),"Les souverains et la noblesse anglaise, y compris Richard Cœur de Lion, parlaient le français !",,
,(?),1362, Plead in English Act,,
,(?),la guerre de Cent Ans,,
,(?),la peste noire,,
,(?),le peuple,,
,(?),plaider,,
,(?),bouger,,
,(?),sa cour royale,,
,(?),ils sont versés dans la littérature française,,
,(?),envahir,,
,(?),inaliénable,,
,(?),l'extraterrestre,,
,(?),non effaçable,,
,(?),un manoir d'idées,,
,(?),prédicable,,
,(?),faisable,,
,(?),au cours des années,,
,(?),maximiser le profit,,
,(?),la collection,,
,(?),la vente,,
,(?),une quantité énorme,,
,(?),une source,,
,(?),dédier,,
,(?),consacrer,,
,(?),les mathématiques,,
,(?),insister,,
,(?),abstraction,,
,(?),une recette,,
,(?),ma santé mentale,,
,(?),un pénitencier,,
,(?),il s'agit de,,
,(?),il se trouve que,,
,(?),une antithèse,,
,(?),son péché,,
,(?),tout traîner,,
,(?),épicé,,
,(?),une tenue,,
,(?),une performance,,
,(?),un spectacle,,
,(?),je les surprends toujours,,
,(?),un changement radical,,
,(?),la saveur nature,,
,(?),"Ici, vous allez bientôt combler vos petits creux !",,
,(?),la vidéoprotection,,
,(?),une expérimentation,,
,(?),ponctuellement,,
,(?),mettre en œuvre,,
,(?),une analyse automatisée en temps réel des images sur lesquelles vous pouvez figurer.,,
,(?),détecter des événements prédéterminés,,
,(?),alterner entre des phases parmi les cas d'usage suivants,,
,(?),un franchissement,,
,(?),innombrable,,
,(?),de manière figurative ou ironique,,
,(?),galanterie,,
,(?),Denis l'Américain,,
,(?),une succursale,,
,(?),composant,,
,(?),reconditionner,,
,(?),réutilisable,,
,(?),ne contenant pas de métal,,
,(?),un accessoire,,
,(?),un équipement,,
,(?),faire un usage raisonné,,
,(?),bas-ventre,,
,(?),prévaloir,,
,(?),"en plus,",,
,(?),revendre,,
,(?),pour rester zen en toutes circonstances.,,
,(?),Je suis à bout,,
,(?),l'échec,,
,(?),un point rélais,,
,(?),imprimer un bordereau prépayé à coller sur le carton,,
,(?),emballer soigneusement,,
,(?),le bon de retour,,
,(?),une manette,,
,(?),un chargeur,,
,(?),une machine,,
,(?),«manuellement» signifie «à la main»,,
,(?),en agence,,
,(?),les instructions que j'ai reçu,,
,(?),un atelier,,
,(?),je reste à ta disposition,,
,(?),"pour suivre l'évolution de votre dossier, rendez-vous sur mon site-web",,
,(?),renvoyer nous tous les accessoires,,
,(?),un câble d'alimentation,,
,(?),le téléphone charge,,
,(?),la conjugaison,,
,(?),les langues flexionnelles,,
,(?),une douzaine,,
,(?),l'intégralité,,
,(?),le tutoiement,,
,(?),ceci vous conviendrait que je vous laisse tout seul?,,
,(?),ou vous préférez que je reste?,,
,(?),les deux me conviendraient,,
,(?),je préfère que tu restes,,
,(?),se dépêcher,,
,(?),les décisions impulsives,,
,(?),le risque moral,,
,(?),"Quand on compte toujours sur la bonne volonté des gens, voilà ce qui arrive.",,
,(?),le fascicule,,
,(?),Esdras le prophète,,
,(?),le laconisme,,
,(?),la sécheresse,,
,(?),renverser,,
,(?),un jeûne,,
,(?),Jonas le prophète,,
,(?),les années 1520s,,
,(?),ses 95 thèses ,,
,(?),le pape fini par excommunier Luther,,
,(?),il est même mis au ban de l'empire par l'empereur Charles V,,
,(?),"Luther recevait non seulement un soutien populaire, mais aussi de la part de plusieurs souverains européens.",,
,(?),Les luthériens,,
,(?),le purgatoire n'existe pas,,
,(?),Jean Calvin,,
,(?),le salut est uniquement l'effet du l'amour du Seigneur,,
,(?),influencer,,
,(?),pécher,,
,(?),impacter,,
,(?),gâcher,,
,(?),gâter,,
,(?),ça va être gâté,,
,(?),inéditable,,
,(?),la cruauté,,
,(?),le sadisme,,
,(?),féroce,,
,(?),sa méchanceté,,
,(?),Je suis choqué,,
,(?),sa propension,,

