audio_path,question,response,UUID,creation_date
,(?),un vocabulaire,,
,(?),détrimental,,
,(?),restreint,,
,(?),une retenue,,
,(?),de sa part,,
,(?),ceux qui pleurent le plus fort ont le plus de lait,,
,(?),véhément,,
,(?),je refuse d’être interrogé sans avocat,,
,(?),vulgaire,,
,(?),se détériorer,,
,(?),un parti politique,,
,(?),une erreur grossière,,
,(?),barbare,,
,(?),un souhait,,
,(?),un vœu,,
,(?),un moule,,
,(?),une moule,,
,(?),un facteur,,
,(?),contre-productif,,
,(?),les nouvelles valeurs,,
,(?),extrajuridique,,
,(?),le plomb,,
,(?),les erreurs factuelles,,
,(?),l’incitation à la violence,,
,(?),dégoûtant,,
,(?),répugnant,,
,(?),imprécis,,
,(?),la mafia locale,,
,(?),au nom de l’État,,
,(?),vous en souvenir,,
,(?),en toute sécurité,,
,(?),un bénéfice,,
,(?),des restrictions autoritaires,,
,(?),les aménités,,
,(?),le leadership,,
,(?),l’équité,,
,(?),robuste,,
,(?),brut,,
,(?),"parfois, il provoque la panique",,
,(?),toutes les scènes naturelles,,
,(?),elle a peur,,
,(?),engloutir,,
,(?),la Chine s’allie à l’Union Soviétique,,
,(?),une alimentation saine,,
,(?),un tambour,,
,(?),une toux,,
,(?),un pays,,
,(?),un spectre,,
,(?),grossière,,
,(?),un ananas,,
,(?),il a vécu ici depuis des années,,
,(?),pointu,,
,(?),le grattage,,
,(?),je le gratte,,
,(?),pas seulement pour signaler l’expertise,,
,(?),attirer,,
,(?),"Toi, n’abandonne pas !",,
,(?),un pas,,
,(?),diriger,,
